City,Avg_Severity,Accident_Count,Std_Dev,Severe_Accidents_Pct
Stockbridge,2.649556696220252,2143,0.5853076149658225,59.68
Perry,2.6451612903225805,558,0.7600221288990772,47.13
Pine Mountain,2.64,100,0.7852169487254185,45.0
Juliette,2.638418079096045,177,0.6943716791187544,51.41
Vienna,2.6379310344827585,116,0.6902621017522564,51.72
Morrow,2.6298882681564244,716,0.5994407545936177,56.7
Milledgeville,2.625766871165644,163,0.8894851442596826,34.97
Woodstock,2.624123422159888,713,0.7259873914957098,48.67
Bethlehem,2.621359223300971,103,0.9194681418141444,33.98
Decatur,2.6213009491903962,7164,0.5973076401867677,56.62
Fortson,2.6203703703703702,108,0.6933272425645083,50.0
Newnan,2.618043844856661,1186,0.756392650092517,45.53
Rome,2.616279069767442,172,0.9070046409697419,33.72
Union City,2.6153846153846154,611,0.6511218372243917,54.17
Danville,2.613861386138614,101,0.7870234688966138,42.57
Buford,2.6137211036539894,1341,0.6021773500927701,55.41
Buckhead,2.6134453781512605,119,0.7024080095084891,48.74
Conley,2.6125,480,0.6651557338797822,51.46
Villa Rica,2.604,500,0.7072371375553432,47.8
Forest Park,2.6036299765807964,1708,0.5981114067781198,54.8
Riceboro,2.603305785123967,121,0.7903515973178771,42.98
Elko,2.6030534351145036,131,0.7714062016162144,42.75
Bloomingdale,2.6018099547511313,221,0.7656229668413805,43.89
Dawsonville,2.6,130,0.8857178580287335,33.08
Valdosta,2.59746835443038,395,0.8076371948239018,39.24
Lavonia,2.5973451327433628,226,0.6744822115425405,50.0
Stafford Springs,2.596590909090909,176,0.8361748092882918,38.07
Dublin,2.5939393939393938,165,0.723279874455465,46.67
Douglasville,2.5915254237288137,590,0.6701970253835895,49.15
Torrington,2.590643274853801,171,0.8922708281806333,31.58
Canton,2.59018759018759,693,0.7168626205781622,45.74
Macon,2.5888399412628487,2724,0.6801040981796636,49.41
Gainesville,2.587096774193548,620,0.7899783991173227,40.0
Waco,2.586021505376344,186,0.6783272586335367,47.85
Rex,2.5858208955223883,268,0.6028214541878523,52.61
